"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1272.79/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x02bc0a56d35cfaa4b1dadd51e8d143428c8a5b24551c34bf7ef1d6a75ddd2496","14172604","1644419317","2022-02-09 15:08:37","0x4f7b9ef05e63744249cc40845402c18312655d07","","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","0","0","0","0.594494127934028937","756.666181093153","3246.72","","","0x60806040",""
"0x766c54a7609195986ce8d8f4edb5b94e64152dd05ddae9c83bf5e427a11f10e2","14172691","1644420478","2022-02-09 15:27:58","0x4f7b9ef05e63744249cc40845402c18312655d07","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0","0","0","0.0242966365509986","30.9245160357455","3246.72","","","Mint",""
"0xd63fec7918d716ce7a25d8c34857687cb51c09d954467a502d8dba0889a4af5f","14174154","1644440145","2022-02-09 20:55:45","0x4f7b9ef05e63744249cc40845402c18312655d07","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0","0","0","0.682334515889824434","868.46854847941","3246.72","","","Mint",""
"0x210766f984b62d4331e7c46ec4456eee02323efd1c518bfcadc1e3b8af840435","14174254","1644441604","2022-02-09 21:20:04","0x4f7b9ef05e63744249cc40845402c18312655d07","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0","0","0","0.005549817390972816","7.06375207705629","3246.72","","","Set OG Merkle Root",""
"0xb00fbe321b189817c5e7f2e1c4ae5e23f3d7df0958ae39911711b71e54085611","14174258","1644441671","2022-02-09 21:21:11","0x4f7b9ef05e63744249cc40845402c18312655d07","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0","0","0","0.006812700899469973","8.67113757783639","3246.72","","","Set Whitelist Merkle Root",""
"0x739d1bafef8eaec3ad3a91be68e3eb77dd5ea873062a9d438c7ceb6c0799d11b","14174352","1644442676","2022-02-09 21:37:56","0x484ed89966cb13780801f3b621601e5a8961238e","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.025619224626566149","32.6078929124471","3246.72","","","Whitelist Mint",""
"0x166be1b58b9a6f82b952ae316f2bcdf1bcf34348d933e65c84776b91559cd73e","14174354","1644442700","2022-02-09 21:38:20","0x95f0fc24e238e689f7ea962eec5127f32d8a85b7","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.0224128719456471","28.5268792837002","3246.72","","","Whitelist Mint",""
"0xe21a12f39562ff762b3205f2aab64c37483364f038cdcbd265d8edab7c7843f8","14174357","1644442775","2022-02-09 21:39:35","0x484ed89966cb13780801f3b621601e5a8961238e","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.025652873570475559","32.6507209517656","3246.72","","","Whitelist Mint",""
"0xe9096edc3fe89e1fabcbb479483993d9853e4961123d9ed8ecbad582fd7063db","14174373","1644442932","2022-02-09 21:42:12","0x484ed89966cb13780801f3b621601e5a8961238e","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0","0","0","0.006335549007461244","8.0638234212066","3246.72","","","Set Approval For All",""
"0x2c7afcebcac28a58ebfb886808c172b11cd818fa8310c93de585dc9fa6205efc","14174391","1644443157","2022-02-09 21:45:57","0xe83de5124a02c9c6bf9c188f4ceb123a8b5b3d08","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02840424634583121","36.1526407065105","3246.72","","","Whitelist Mint",""
"0xc7dea8430394a3d259334d458719e77a0948e6f32f4cde54267f5e32010d7fb5","14174393","1644443166","2022-02-09 21:46:06","0xe83de5124a02c9c6bf9c188f4ceb123a8b5b3d08","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.024436894747182335","31.1030352652662","3246.72","","","Whitelist Mint",""
"0x6b87e8d3cec8695d4378033adad7a797f5f60bb281de5643ee5dece791dd0099","14174407","1644443404","2022-02-09 21:50:04","0xe83de5124a02c9c6bf9c188f4ceb123a8b5b3d08","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0","0","0","0.005896943189745732","7.50557032247647","3246.72","","","Set Approval For All",""
"0xfe6a3ef178a472b23a6f211ec535c0d7f783d2b230a6e82166f91bd0d4670343","14174457","1644444100","2022-02-09 22:01:40","0xce433073b8d67ec042005b08bd1dc343583dbf69","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.3","0","381.837","0.031066829316186985","39.5415496853496","3246.72","","","Whitelist Mint",""
"0x42d295da8553aa6632311ded64adb4e27c57fa09ada14e1ff97bb45e5efd3bbe","14174457","1644444100","2022-02-09 22:01:40","0x18de333b8f321b06b774fdbe7b7a8febc6d40d43","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.3","0","381.837","0.031066023413865825","39.5405239409343","3246.72","","","Whitelist Mint",""
"0xa981eb13264185c2b1ae9963006dcb93d93c68fb4ac401bc2ad896eaaf46c767","14174458","1644444117","2022-02-09 22:01:57","0x640b362c1ea20716ef9a9cdf8b19ea371ab18e20","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.022298493918990025","28.3813000751513","3246.72","","","Whitelist Mint",""
"0x8ed478bb88155678e2ac6e3519abcaff6043459f0edf75a0ffe9d10cfcb4337b","14174458","1644444117","2022-02-09 22:01:57","0x3b502b054715a8e0d8f657169615a88b2ccdd429","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.022295993896738947","28.3781180718304","3246.72","","","Whitelist Mint",""
"0xafa7ac1edbac3da38c9c19ab5885cdf766f0b15054461f699fcc82b69968cceb","14174458","1644444117","2022-02-09 22:01:57","0xc8d63f0be39ce2fb5226d58de312bb24a545bd6b","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.022294857522988457","28.3766717066845","3246.72","","","Whitelist Mint",""
"0x0a16a1afa1804f738a29d0367a9677c2cc99435c8153c0fbf5462a739d2fb037","14174458","1644444117","2022-02-09 22:01:57","0x0b0b4ff86d861058b7532970432f5ff0f1093f42","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.022301221215991201","28.3847713515014","3246.72","","","Whitelist Mint",""
